5 15 20 25 28 30 35 40 55 56 60 62 70 75 80 85 87 90 94 95 	2 3 11 16 21 29 36 45 46 50 51 59 65 66 71 76 81 86 91 96 	7 12 22 26 27 31 32 41 42 43 47 52 57 67 68 72 77 82 89 92 	1 6 10 13 18 23 34 38 48 53 58 61 63 73 78 83 84 88 93 98 	0 4 8 9 14 17 19 24 33 37 39 44 49 54 64 69 74 79 97 99
3 5 6 10 17 20 25 30 35 52 58 60 65 75 79 80 84 85 90 95 	1 4 8 16 21 36 40 46 48 51 56 61 64 66 67 71 76 81 86 96 	13 22 23 27 31 32 37 39 42 45 47 55 57 62 72 77 82 89 92 97 	2 11 18 19 26 28 33 38 43 50 53 54 63 68 73 78 83 87 93 98 	0 7 9 12 14 15 24 29 34 41 44 49 59 69 70 74 88 91 94 99
0 5 7 15 20 25 26 30 34 38 45 60 63 70 75 80 86 88 90 95 	6 10 11 16 31 36 41 46 51 56 65 66 71 73 76 81 85 89 91 96 	2 8 12 17 21 22 27 32 40 42 47 49 52 55 57 62 67 77 87 97 	1 9 18 23 24 28 33 37 43 50 53 58 61 78 82 83 93 94 98 99 	3 4 13 14 19 29 35 39 44 48 54 59 64 68 69 72 74 79 84 92
5 10 15 17 23 30 35 40 45 55 60 63 65 75 80 85 89 90 94 95 	1 11 31 38 41 44 46 48 49 51 56 59 61 66 71 76 81 88 91 96 	2 6 7 12 22 26 27 33 37 42 57 67 68 70 72 77 82 87 92 97 	3 8 13 18 19 20 28 36 43 47 52 53 58 62 74 78 83 86 93 98 	0 4 9 14 16 21 24 25 29 32 34 39 50 54 64 69 73 79 84 99
3 5 8 12 15 20 25 30 35 45 50 57 60 70 75 80 81 86 90 95 	1 2 6 11 16 26 36 39 41 42 46 51 56 61 66 73 76 87 91 96 	4 7 13 17 22 23 27 31 32 44 47 52 67 72 77 83 85 92 97 99 	9 10 21 28 34 37 38 43 48 53 58 62 63 65 78 88 89 93 94 98 	0 14 18 19 24 29 33 40 49 54 55 59 64 68 69 71 74 79 82 84
0 9 11 15 17 25 27 30 32 35 39 40 44 45 55 60 77 80 85 95 	1 6 16 31 36 46 49 51 56 61 65 66 71 75 81 88 91 96 98 99 	2 7 12 26 33 37 41 42 47 52 54 57 62 68 72 76 82 87 92 97 	3 8 13 18 22 23 34 38 48 50 53 58 63 67 70 78 83 84 90 93 	4 5 10 14 19 20 21 24 28 29 43 59 64 69 73 74 79 86 89 94
0 9 15 18 25 30 35 40 45 50 54 57 65 70 75 85 86 89 90 91 	1 13 16 21 26 31 36 41 43 47 51 56 60 61 66 76 79 81 95 96 	2 5 6 7 12 22 27 32 37 42 49 52 62 67 72 74 82 87 92 97 	3 17 23 28 33 38 44 46 48 53 55 58 68 73 77 80 83 84 88 93 	4 8 10 11 14 19 20 24 29 34 39 59 63 64 69 71 78 94 98 99
5 8 10 15 20 25 30 35 40 45 50 55 60 65 75 80 85 90 92 95 	0 2 6 7 11 13 32 41 51 53 56 61 66 71 74 76 81 86 91 96 	1 12 16 17 22 27 31 42 47 52 54 57 62 63 67 68 72 77 82 97 	3 18 21 23 28 33 34 37 38 43 46 48 58 73 78 87 88 93 94 98 	4 9 14 19 24 26 29 36 39 44 49 59 64 69 70 79 83 84 89 99
11 15 26 30 35 40 45 49 50 61 65 75 80 81 85 86 89 90 94 95 	1 4 6 10 21 29 31 38 41 44 46 54 56 60 66 70 76 83 91 96 	2 12 22 23 27 37 42 47 51 55 57 62 67 71 72 77 82 87 92 97 	8 9 13 18 25 28 32 33 36 43 48 53 58 63 68 73 78 88 93 98 	0 3 5 7 14 16 17 19 20 24 34 39 52 59 64 69 74 79 84 99
0 5 10 11 15 16 20 25 31 35 39 45 52 55 60 65 75 76 86 90 	2 7 21 26 41 46 49 56 61 66 67 71 78 81 84 89 91 95 96 98 	8 12 22 27 32 37 40 42 47 51 57 62 64 70 72 73 82 87 92 97 	4 13 18 23 28 30 36 38 43 48 53 63 68 77 79 83 85 88 93 94 	1 3 6 9 14 17 19 24 29 33 34 44 50 54 58 59 69 74 80 99
