1 9 15 20 23 25 26 30 32 33 35 40 44 49 50 78 81 85 95 99 	2 4 5 6 16 31 48 51 53 56 57 60 61 62 64 66 71 76 91 96 	7 17 22 28 47 52 58 67 72 74 75 77 80 84 86 87 89 90 92 97 	3 8 10 11 13 18 19 36 38 42 43 45 55 65 68 73 83 88 93 98 	0 12 14 21 24 27 29 34 37 39 41 46 54 59 63 69 70 79 82 94 	
2 5 7 10 11 15 20 25 30 35 40 41 44 45 55 65 70 75 80 95 	1 6 16 19 21 26 31 36 46 51 56 60 66 71 74 76 86 90 91 96 	13 22 27 37 39 42 52 57 62 64 67 72 77 82 85 87 92 94 97 99 	8 17 18 23 28 33 38 43 48 50 53 54 58 73 81 83 84 88 93 98 	0 3 4 9 12 14 24 29 32 34 47 49 59 61 63 68 69 78 79 89 	
0 2 8 10 15 16 25 30 35 40 41 47 55 63 65 75 81 85 90 95 	1 6 9 12 21 44 45 46 51 56 61 66 71 76 79 86 87 91 92 96 	5 7 17 26 27 31 32 34 37 42 43 52 57 62 67 72 73 77 82 97 	3 4 13 18 23 28 33 36 38 48 49 53 58 60 68 78 80 83 93 98 	11 14 19 20 22 24 29 39 50 54 59 64 69 70 74 84 88 89 94 99 	
5 6 14 18 20 30 35 39 40 45 50 52 64 70 71 75 80 90 91 95 	8 11 16 21 24 25 31 32 36 41 46 51 55 76 81 82 85 86 89 96 	2 12 22 27 37 42 43 47 60 61 62 65 66 67 72 77 79 87 92 97 	1 3 7 10 13 17 23 26 28 33 38 48 58 68 78 83 84 88 93 98 	0 4 9 15 19 29 34 44 49 53 54 56 57 59 63 69 73 74 94 99 	
0 1 5 6 12 23 26 29 30 33 35 53 55 57 59 65 75 81 85 88 	9 11 37 41 46 49 50 58 60 61 66 70 71 76 86 94 96 97 98 99 	2 4 7 17 27 28 34 48 51 52 62 67 68 72 73 77 90 91 92 95 	8 10 15 18 21 22 24 25 31 38 42 43 63 74 78 79 80 82 83 93 	3 13 14 16 19 20 32 36 39 40 44 45 47 54 56 64 69 84 87 89 	
0 5 10 15 16 30 35 40 42 45 48 50 60 75 88 89 90 93 94 95 	1 6 11 21 26 33 41 43 44 46 49 51 55 57 61 69 81 86 91 96 	2 7 17 22 36 37 47 52 56 58 62 63 65 72 74 77 82 87 92 97 	8 12 13 14 18 23 25 28 31 38 53 59 64 68 73 78 79 83 85 98 	3 4 9 19 20 24 27 29 32 34 39 54 66 67 70 71 76 80 84 99 	
0 8 10 11 15 24 30 40 43 45 46 50 58 60 61 68 73 75 76 85 	2 6 21 26 36 38 41 48 51 56 70 71 72 81 86 90 91 95 96 99 	1 7 12 16 22 27 32 44 52 54 55 59 62 66 67 77 80 82 92 97 	3 13 18 19 20 23 28 31 33 35 37 53 57 63 78 83 87 88 93 98 	4 5 9 14 17 25 29 34 39 42 47 49 64 65 69 74 79 84 89 94 	
1 5 10 15 25 29 33 35 42 45 55 60 65 80 84 85 87 88 90 95 	6 21 41 46 49 51 54 56 61 66 73 76 81 82 86 91 94 96 98 99 	0 2 4 7 13 17 20 22 27 30 31 37 48 52 58 67 68 72 92 97 	8 11 12 14 18 28 38 39 40 43 50 63 64 71 74 77 78 79 83 93 	3 9 16 19 23 24 26 32 34 36 44 47 53 57 59 62 69 70 75 89 	
1 3 5 10 15 18 23 25 28 35 40 42 45 47 50 60 75 80 85 95 	6 16 26 37 41 44 46 51 56 61 66 70 71 74 76 81 82 86 91 96 	7 11 12 17 22 24 27 30 32 53 62 65 67 72 73 77 87 89 92 97 	8 13 20 21 31 36 38 43 48 52 54 58 59 68 69 78 83 88 93 98 	0 2 4 9 14 19 29 33 34 39 49 55 57 63 64 79 84 90 94 99 	
0 5 10 20 25 31 34 35 40 43 45 55 56 57 75 80 85 86 87 95 	6 11 16 28 29 41 46 49 59 61 66 67 71 76 79 81 83 90 91 96 	2 7 12 21 22 27 32 36 42 47 52 62 70 72 77 82 84 92 94 97 	1 8 13 18 23 26 33 37 38 48 50 53 58 60 63 64 78 88 93 98 	3 4 9 14 15 17 19 24 30 39 44 51 54 65 68 69 73 74 89 99 	
0 5 7 8 10 13 15 20 23 30 35 40 45 56 60 65 85 90 93 95 	1 6 11 26 31 36 42 43 44 51 61 63 64 66 71 76 77 86 91 96 	2 12 16 17 27 37 50 52 55 58 59 62 67 72 81 82 87 88 92 97 	3 18 22 25 28 32 33 38 41 47 48 53 57 68 70 73 78 83 84 98 	4 9 14 19 21 24 29 34 39 46 49 54 69 74 75 79 80 89 94 99 	
5 10 12 14 20 22 25 27 35 38 40 49 50 52 55 70 85 90 95 96 	1 2 6 16 17 28 31 36 37 41 44 45 51 56 61 65 66 76 86 91 	7 11 32 43 46 47 54 58 59 60 62 63 67 77 79 81 84 87 94 97 	3 8 13 15 18 26 33 42 48 53 68 72 73 78 80 83 92 93 98 99 	0 4 9 19 21 23 24 29 30 34 39 57 64 69 71 74 75 82 88 89 	
3 4 5 10 15 20 21 25 30 35 45 50 58 70 75 76 80 85 90 95 	1 6 8 16 17 23 24 26 36 37 40 41 42 46 56 66 68 81 86 96 	2 7 12 19 32 47 51 55 57 62 67 72 73 74 77 79 82 84 92 97 	11 13 18 22 27 28 33 38 43 53 60 61 63 71 78 83 87 88 89 93 	0 9 14 29 31 34 39 44 48 49 52 54 59 64 65 69 91 94 98 99 	
0 8 10 11 12 15 25 27 29 30 35 40 50 55 56 63 70 75 80 85 	1 2 3 6 31 36 41 46 51 59 61 66 67 71 79 86 92 94 96 98 	5 7 16 17 18 20 22 32 37 45 47 57 62 76 82 83 91 95 97 99 	4 13 23 26 28 33 38 39 42 43 52 53 68 77 78 81 87 88 90 93 	9 14 19 21 24 34 44 48 49 54 58 60 64 65 69 72 73 74 84 89 	
0 2 5 10 15 17 20 21 25 27 29 30 31 35 45 47 55 60 71 75 	1 11 16 24 26 36 41 46 49 51 56 59 66 76 78 83 85 86 91 96 	6 8 12 13 22 32 37 42 43 52 53 57 62 65 67 69 72 77 87 97 	3 18 28 33 38 44 48 50 58 61 64 68 73 80 81 82 84 88 92 93 	4 7 9 14 19 23 34 39 40 54 63 70 74 79 89 90 94 95 98 99 	
5 10 11 15 20 21 25 27 35 41 42 44 45 50 70 75 80 86 90 95 	1 2 16 31 38 39 40 48 51 55 56 60 64 65 66 67 76 81 91 96 	0 7 9 12 22 24 26 32 37 47 61 62 72 77 82 87 89 92 94 97 	3 4 13 17 18 23 28 30 33 43 46 52 53 58 63 73 78 83 88 93 	6 8 14 19 29 34 36 49 54 57 59 68 69 71 74 79 84 85 98 99 	
