10 13 17 19 20 24 25 26 28 30 35 40 45 50 65 68 75 80 85 90 	16 31 36 42 44 46 51 56 59 60 61 66 76 82 94 95 96 97 98 99 	3 22 27 32 37 47 49 57 62 67 71 72 74 77 81 86 87 89 91 92 	2 8 11 12 15 18 23 33 38 41 43 48 52 53 63 70 78 83 88 93 	0 1 4 5 6 7 9 14 21 29 34 39 54 55 58 64 69 73 79 84 	
0 4 5 6 11 15 20 21 25 30 31 35 36 39 40 60 65 71 80 85 	1 7 16 17 37 41 44 45 46 48 56 61 66 73 76 83 84 86 87 96 	2 10 12 22 26 27 47 49 50 51 52 62 64 67 70 72 77 82 91 92 	3 8 9 18 23 28 38 43 53 55 58 63 78 88 90 93 95 97 98 99 	13 14 19 24 29 32 33 34 42 54 57 59 68 69 74 75 79 81 89 94 	
0 1 3 5 8 10 15 25 31 45 50 60 63 74 80 81 85 94 97 99 	6 11 16 36 40 41 42 46 47 48 51 52 56 57 61 65 66 73 76 96 	2 7 12 17 22 26 29 30 32 37 39 49 62 67 68 72 75 77 87 92 	13 18 21 23 28 33 38 43 53 55 58 70 78 82 83 88 89 93 95 98 	4 9 14 19 20 24 27 34 35 44 54 59 64 69 71 79 84 86 90 91 	
0 4 6 15 17 20 22 35 40 41 42 45 48 68 76 80 88 90 92 95 	1 8 11 19 50 51 56 59 61 66 70 71 78 86 91 93 96 97 98 99 	13 27 32 33 36 37 39 47 52 55 57 62 63 67 69 77 82 83 85 87 	2 3 7 10 18 21 26 28 38 49 53 58 60 65 72 73 74 75 79 81 	5 9 12 14 16 23 24 25 29 30 31 34 43 44 46 54 64 84 89 94 	
10 12 15 20 25 28 30 31 35 40 45 46 49 55 60 65 75 80 81 95 	1 14 16 26 41 44 51 53 56 61 63 71 76 83 84 86 89 91 94 96 	0 2 7 22 32 37 42 47 52 57 62 72 77 79 82 87 88 90 92 97 	3 5 6 8 11 13 17 18 23 27 33 36 38 43 48 66 68 70 73 98 	4 9 19 21 24 29 34 39 50 54 58 59 64 67 69 74 78 85 93 99 	
0 5 10 16 20 23 25 30 36 39 45 47 55 65 74 75 80 85 90 99 	1 3 6 11 12 26 38 41 46 48 51 66 71 76 81 91 95 96 97 98 	2 7 17 22 27 31 32 37 42 50 57 60 61 62 67 68 72 82 87 92 	8 13 28 35 43 52 53 58 59 64 73 77 78 79 83 84 86 88 89 93 	4 9 14 15 18 19 21 24 29 33 34 40 44 49 54 56 63 69 70 94 	
3 10 11 20 25 26 29 31 32 34 35 40 49 50 57 59 64 65 75 85 	1 7 15 16 21 39 41 42 46 51 56 61 66 71 76 80 81 82 90 96 	2 12 13 17 22 23 27 30 37 45 47 52 62 72 86 87 89 92 97 98 	0 8 18 19 28 33 36 38 43 48 53 58 63 67 68 73 78 83 93 95 	4 5 6 9 14 24 44 54 55 60 69 70 74 77 79 84 88 91 94 99 	
1 5 8 10 11 15 16 17 25 30 31 32 35 40 45 60 65 70 75 80 	6 21 41 42 43 46 49 50 51 54 55 61 66 71 73 76 81 82 84 91 	0 22 28 37 39 52 57 58 59 62 64 67 68 77 86 87 88 90 92 97 	7 12 13 18 20 23 33 34 36 47 48 53 63 74 78 83 85 89 93 98 	2 3 4 9 14 19 24 26 27 29 38 44 56 69 72 79 94 95 96 99 	
0 5 8 10 11 15 20 25 28 30 35 40 46 47 48 75 80 87 89 95 	1 6 26 36 38 41 42 45 49 51 56 59 61 66 68 76 81 82 86 96 	4 7 22 27 29 32 37 39 44 50 62 64 65 71 72 85 90 91 92 97 	3 12 13 18 23 31 33 43 53 58 60 63 67 78 83 88 93 94 98 99 	2 9 14 16 17 19 21 24 34 52 54 55 57 69 70 73 74 77 79 84 	
0 4 5 8 10 14 15 20 25 26 30 31 40 45 51 65 75 85 90 93 	2 3 6 7 16 41 46 56 66 70 72 79 81 87 88 91 95 96 97 99 	1 12 27 36 37 42 43 47 49 50 53 60 62 67 77 80 82 84 86 92 	9 11 13 18 28 32 38 44 48 55 57 58 63 64 68 73 76 78 83 98 	17 19 21 22 23 24 29 33 34 35 39 52 54 59 61 69 71 74 89 94 	
0 3 5 6 9 12 15 25 31 35 38 45 50 55 57 70 75 77 80 95 	1 10 26 36 41 43 46 51 56 60 61 66 71 76 78 83 86 87 89 96 	2 7 13 16 20 21 22 27 42 47 52 62 72 73 82 90 91 92 97 98 	8 18 23 28 30 32 33 48 53 58 63 64 65 79 81 84 85 88 93 94 	4 11 14 17 19 24 29 34 37 39 40 44 49 54 59 67 68 69 74 99 	
0 5 10 15 20 25 26 29 30 35 45 60 70 74 77 80 85 86 87 90 	1 16 31 40 41 44 46 51 55 56 59 61 63 64 66 71 76 81 91 96 	2 7 9 18 22 27 28 36 37 38 47 48 50 52 53 62 65 72 82 92 	3 6 8 12 14 21 23 33 34 42 43 58 67 73 75 78 83 88 93 98 	4 11 13 17 19 24 32 39 49 54 57 68 69 79 84 89 94 95 97 99 	
0 4 5 10 12 15 20 23 25 33 34 35 40 45 55 60 75 79 85 90 	6 7 8 11 13 31 36 38 39 41 42 43 46 61 65 66 71 76 81 96 	16 17 21 22 27 30 37 50 51 56 57 62 67 68 70 72 80 82 92 97 	3 18 28 32 48 53 59 64 73 77 78 83 86 87 88 89 91 93 95 98 	1 2 9 14 19 24 26 29 44 47 49 52 54 58 63 69 74 84 94 99 	
